SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
11,Kavrepalanchowk,Namobuudha,8,Xap,Xap,27.55325175,85.61859467,Dadaghare mul ,spring,private,sparse_forest,"Okhar ,kaulo, katus   ",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,5,120,500,30,1.5,2,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",5,Mixed,,,no_change,yes,same,same,no,,yes,,no,,,,no,,
12,Kavrepalanchowk,Namobuudha,8,Xap ,Xap,27.55061393,85.61824377,Xapko mul gogan,spring,private,grassland,"Gogan,kalimunte,dudhilo ",dried,seasonal,2072,Earthquake,no,,migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kavrepalanchowk,Namobuudha,8,Kami kate mul,Xap ra tallo gauko simana,27.54885215,85.62041232,Kamikate mul,spring,private,sparse_forest,"Bas ,utis, uniu ",active,perennial,,,,,,closed_kuwa,flowing,soil/sediment,5,15,500,10,1,1,same,,,,,excellent,no_change,yes,"drinking,household,livestock",63,Mixed,,,no_change,yes,same,same,no,,yes,,yes,formal,male,vice_chair,no,,
14,Kavrepalanchowk,Namobuudha,8,Daraune pokhari,Tallo gau ,27.5490592,85.62107975,Thuldhara  ,spring,community,grassland,"Utis ,bass ,kalimunte jhar ",active,perennial,,,,,,cemented_tank,seepage,rock,5,30,100,10,2,2,same,,,,,excellent,no_change,yes,"drinking,household,livestock",80,Mixed,,,no_change,yes,same,same,yes,"Panchami nuhaun,behe kalagi,vojka lagi ",yes,,yes,formal,male,vice_chair,yes,"recharge_pond_construction,source_protection",
15,Kavrepalanchowk,Namobuudha,9,dandagau,Dadagau,27.55188386,85.60635946,Dandagau khanepani(dhara),spring,community,agriculture,"paiyu,simal,chilaune",active,perennial,,,,,,tap,flowing,soil/sediment,2.5,20,15,4,1,3,decreasing,,,,,excellent,improved,yes,"drinking, agriculture,household, livestock, religious ",20,Mixed,,,Degraded,no,,,no,,yes,,no,,,,yes,source_protection,
16,Kavrepalanchowk,Namobuudha,9,dafudada,Damfudada,27.55073958,85.60551364,Dafudada khanepani(kuwa),spring,private,agriculture,"utis,dhudhilo,banmara",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,2,10,100,14,1,2,decreasing,,,,,excellent,improved,yes,"drinking, agriculture,household, livestock, religious ",30,Janajati,,,Degraded,yes,same,same,no,,yes,,no,,,,yes,"recharge_pond_construction,source_protection",
17,Kavrepalanchowk,Namobuudha,11,Nagar,Bimire,27.54657766,85.57465018,Kowa,spring,community,sparse_forest,"Banmar,basa,dudaaunesaula",dried,perennial,2072,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Kavrepalanchowk,Namobuudha,11,Nagar,Bimire,27.54659624,85.57461597,Kowa,spring,private,grassland,"Niuro,kera,botpoto",dried,perennial,2060,Infrastructure Development,no,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kavrepalanchowk,Namobuudha,2,Namobuddha,Patalegau,27.5621414,85.6378505,Gairidhara,spring,community,settlement,"Utass,chilaaune,kutmero",active,perennial,,,,,,closed_kuwa,flowing,soil/sediment,5,30,10,20,1,5,decreasing,,,,,good,Same,yes,"drinking,livestock,household,agriculture",30,"BCTS,Janajati,Dalit",,,no_change,yes,same,same,no,,yes,,no,,,,no,,
20,Kavrepalanchowk,Namobuudha,2,Patlegaun,Patlegaun,27.58776667,85.61466333,Khaijel pani,spring,community,agriculture,"Pipal,kaijal,lapci ",active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,1,8,10,10,1,2,decreasing,,,,,excellent,Same,yes,"drinking,household,agriculture,livestock",35,"BCTS,Janajati,Dalit",,,no_change,yes,same,same,yes,"Bibah bratabandha, kiriya putri",yes,,no,,,,yes,source_protection,
21,Kavrepalanchowk,Namobuudha,2,Namobuddha,Sarki tole,27.588065,85.614695,Patlegaun tallo veage khane pani,spring,community,agriculture,Kutmero chilaune bakaino,active,perennial,,,,,,closed_kuwa,flowing,soil/sediment,1,9,20,15,1,2.5,decreasing,,,,,good,Same,yes,"drinking,agriculture,household,livestock",32,"Janajati,Dalit",,,no_change,yes,same,same,no,,yes,,no,,,,no,,
22,Kavrepalanchowk,Namobuudha,2,Namobuddha,Patlegaun damai tole,27.58914833,85.615505,Patlegaun B dhara,spring,community,fallow,"Lakuri , Tuni ,lapsi",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,10,20,10,1,20,decreasing,,,,,good,Same,yes,"drinking,household,agriculture,livestock",25,Dalit,,,no_change,yes,same,same,no,,yes,,yes,informal,male,,yes,source_protection,
23,Kavrepalanchowk,Namobuudha,2,Namobuddha,Pucbar tole,27.58912333,85.61316833,Puchar tole khane pani,spring,community,agriculture,"Tuni,utis,nigao",active,perennial,,,,,,cemented_tank,seepage,interface between rock and sediment,1,23,150,20,7,15,decreasing,,,,,good,Same,yes,drinking,20,"Janajati,Dalit",,,no_change,yes,same,same,no,,yes,,no,,,,no,,
24,Kavrepalanchowk,Namobuudha,2,Patlegauan,Magh ghar,27.588145,85.61243667,Magha ghare mul,spring,community,agriculture,"Utish,hadbadey ko bot ,bash",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,20,100,10,2,6,decreasing,,,,,good,Same,yes,drinking,12,Janajati,,,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
25,Kavrepalanchowk,Namobuudha,8,Adhikari thok ,Adhikari thok ,27.5605245,85.6421947,Janai mantrane pokhari,pond,public,grassland,"Nigala, kutmiro ,asuro ",active,perennial,,,,,,,,,,,,,,,,800,2,800,1,good,Degraded,yes,"livestock,religious_purpose,agriculture",30,Mixed,,,,no,,,yes,"Janai mantrane, debalay banaun,nagpuja ",yes,,no,,,,no,,1500
26,Kavrepalanchowk,Namobuudha,8,Adhikarithok mathillo gau ,Adhikari thok ,27.54475245,85.61622128,Mathilo mul kuwa  ,spring,private,sparse_forest,"Lakuri, kaytuke,chiuri  ",active,seasonal,,,,,,closed_kuwa,seepage,rock,10,1200,100,10,2,20,decreasing,,,,,good,improved,yes,"drinking,household,livestock",20,Mixed,,,Degraded,no,,,yes,"Saune puja ,nagpuja,barpipal puja ",yes,,no,,,,yes,"plantation,source_protection,trench-pit",
27,Kavrepalanchowk,Namobuudha,8,Adhikari thok ,Adhikari thok ,27.54485852,85.61585718,Sim tallo kuwa ,spring,private,sparse_forest,"Dudhilo, kutmiro,katus ",dried,perennial,2072,Earthquake,no,,migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Kavrepalanchowk,Namobuudha,8,Adhikari thok,Adhikari thok ,27.54495822,85.61587802,Sim kuwa ,spring,private,sparse_forest,"Nigalo ,kafal ,dudhilo ",active,perennial,,,,,,open_kuwa,flowing,rock,10,30,500,15,30,30,same,,,,,good,improved,yes,"household,agriculture,drinking",40,Mixed,,,Improved,no,,,no,,yes,,no,,,,yes,"trench-pit,source_protection",
29,Kavrepalanchowk,Namobuudha,8,Mathillo Adhikari thok  ,Mathillo Adhikari thok ,27.54650722,85.61634037,Jogi padero ,spring,public,grassland,"Uniu, jaiphul,nigalo ",active,perennial,,,,,,closed_kuwa,seepage,rock,10,120,200,5,25,2,increasing,,,,,good,improved,yes,"drinking,household,livestock",30,Mixed,,,Improved,no,,,yes,"Kriya nuhauni ,saunko brata ma nuhaune,panchami nuhaune ",yes,,no,,,,yes,"source_protection,trench-pit",
30,Kavrepalanchowk,Namobuudha,6,Charngefadi,Chautara,27.55987167,85.63956333,Sadhi khare,spring,private,fallow," paniamala  , khar ,khiro",dried,perennial,2076,natural_disaster,no,,"new_source_identification,rainwater_harvesting,boaring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Kavrepalanchowk,Namobuudha,8,Makhlo gau  ,Adhikari thok makhlo gau ,27.54685843,85.61666415,Jogipani pokhari ,pond,public,grassland,"Kalimunte ,kantakari ,uniu ",active,perennial,,,,,,,,,,,,,,,,23.5,2.5,26,2,poor,improved,no,,,,,,,no,,,no,,yes,,no,,,,yes,"recharge_pond_construction,source_protection",
32,Kavrepalanchowk,Namobuudha,11,Nagra,Saura,27.55109597,85.57513096,Saurakuwa,spring,public,dense_forest,"Pogung,katusa,uuniu.",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,2.5,40,200,30,3,6,Decreasing,,,,,excellent,improved,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
33,Kavrepalanchowk,Namobuudha,11,Nagra,Saura,27.55125618,85.57514506,Saurakowa,spring,public,dense_forest,"Pitaauli,utis,sisau.",active,perennial,,,,,,cemented_tank,seepage,rock,2.5,25,500,2,10,5,increasing,,,,,good,improved,no,,,,,,Improved,yes,same,same,no,,yes,,yes,formal,female,chair,yes,source_protection,
34,Kavrepalanchowk,Namobuudha,9,gairigau,thulo gairigau,27.54640189,85.60615764,thulogairigau(kuwa),spring,private,agriculture,"utish,paiyu,chilaune",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,2.5,30,200,15,2,4,decreasing,,,,,good,no_change,yes,"drinking, agriculture,household, livestock, religious ",20,Janajati,,,Degraded,no,,,no,,yes,,no,,,,no,,
35,Kavrepalanchowk,Namobuudha,9,thulogairigau,Khakale gau,27.55021377,85.60836893,Kharka kuwa,spring,public,agriculture,"Utish,banss,lapsi",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,2.5,120,150,10,5,16,decreasing,,,,,excellent,no_change,yes,"drinking, agriculture,household, livestock, religious ",9,Janajati,,,Degraded,no,,,no,,yes,,no,,,,no,,
36,Kavrepalanchowk,Namobuudha,9,Khakale gau,Khakale gau,27.55004913,85.60897488,Kharka dhara,spring,private,agriculture,"Utish,banmara,nigalo",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,2.5,60,50,10,2,8,decreasing,,,,,excellent,no_change,yes,"drinking, agriculture,household, livestock, religious ",7,Janajati,,,Degraded,yes,same,same,no,,yes,,no,,,,yes,"trench-pit,source_protection",
37,Kavrepalanchowk,Namobuudha,9,Sano gairigau,Gairigau,27.55075597,85.60825358,Gairigau dhungedhara,spring,private,agriculture,"Utish,banmara,banss",dried,perennial,2070,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kavrepalanchowk,Namobuudha,8,Dapcha ,Daraune pokhari ,27.54623903,85.61863928,Kali kuwa ,spring,community,grassland,"Uniu,  kalimunte  ,kutmiro  ",active,perennial,,,,,,closed_kuwa,seepage,rock,20,180,50,5,3,3,same,,,,,excellent,improved,yes,"drinking,household,livestock",10,Mixed,,,no_change,no,,,yes,"Panchami nuhauni ,nagpuja ,mulpuja ",yes,,no,,,,no,,
39,Kavrepalanchowk,Namobuudha,6,Charngefadi,Charghare,27.52808,85.65397,Dorje,spring,community,sparse_forest,"Kalimunte , utis , ghass",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,2,30,1000,30,3,5,decreasing,,,,,good,degraded,yes,"drinking,household,agriculture,livestock,religious_purpose",20,BCTS,,,Degraded,yes,same,same,no,,yes,,no,,,,yes,plantation,
40,Kavrepalanchowk,Namobuudha,8,Daraune pokhari thumka ,Thumka ,27.5447389,85.6288728,Daraune pokhari ,pond,public,grassland,"Utis, fosro, kalimunte ",active,perennial,,,,,,,,,,,,,,,,5200,2,5200,2,poor,no_change,yes,"livestock,religious_purpose,agriculture",103,Mixed,,,,no,,,yes,"Siva paela pateko ,sivale bis khayr one paela yas pokharima teker aarko paela gosae kundama pareko,nagpuja ,sivamandirma jal chadaun , ",yes,,yes,Formal,male,treasurer,yes,"source_protection,recharge_pond_construction",
41,Kavrepalanchowk,Namobuudha,2,Fulbari,Ratomate,27.56051742,85.64226975,चौलाने कुवा भकुण्डे,spring,community,agriculture,"अम्बा, सिस्नु, टटेलाको फुल",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,10,300,12,4,5,4,increasing,,,,,good,no_change,yes,"household,religious_purpose,drinking",10,Mixed,,,no_change,no,,,no,,yes,,no,,,,yes,source_protection,
42,Kavrepalanchowk,Namobuudha,2,Phulbari ,Ratamate,27.56663344,85.63913181,Biruwa Padhero,spring,community,grassland,"अम्बा,सुन्तला,बोजो",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,2,180,10,2,5,3,increasing,,,,,good,improved,yes,"religious_purpose,household,drinking,agriculture",5,Mixed,,,no_change,no,,,no,,yes,,no,,,,No,,
43,Kavrepalanchowk,Namobuudha,11,Balkharka,Saura,27.5518922,85.57333891,Saurakowa,spring,public,sparse_forest,"Uniu,basa,esausakobota",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,2.5,2,300,20,6,5,increasing,,,,,good,improved,no,,,,,,Improved,yes,same,same,no,,yes,,yes,formal,male,,no,,
44,Kavrepalanchowk,Namobuudha,11,Balkharka,Balkharka,27.5438532,85.58213089,Gaerokawa,spring,public,grassland,"Basa,utisa,basa",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,2.5,10,200,1,5,3,increasing,,,,,good,no_change,no,,,,,,Improved,no,,,no,,yes,,no,,,,no,,
45,Kavrepalanchowk,Namobuudha,11,Balkharka,Balkhaka sanu,27.54375251,85.58387474,Deutamuni,spring,private,agriculture,Bari makaibari,active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,15,200,30,2,4,decreasing,,,,,excellent,improved,no,,,,,,Improved,no,,,yes,"Bibaha,batamhna",yes,,no,,,,yes,source_protection,
46,Kavrepalanchowk,Namobuudha,2,Phulbari,Ratamate,27.5693128,85.63806136,बजिनी पात्ला ,spring,community,agriculture,"मयल, उत्तिस, तिमिला",active,seasonal,,,,,,closed_kuwa,seepage,soil/sediment,2,600,150,10,5,5,same,,,,,good,improved,yes,livestock,7,Mixed,,,Degraded,no,,,no,,yes,,no,,,,yes,source_protection,
47,Kavrepalanchowk,Namobuudha,2,Phulbari,Acharya gau,27.57229236,85.63720708,पारि कुवा ,spring,community,sparse_forest,"उत्तिस, कर्कलो, बनमारा",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,2,300,150,7,7,7,same,,,,,poor,degraded,yes,livestock,5,"BCTS,Newar",,,no_change,no,,,no,,yes,,no,,,,yes,source_protection,
48,Kavrepalanchowk,Namobuudha,6,Charngefadi,charghare ,27.52681833,85.659265,Dalunge,spring,public,sparse_forest,"Jaluko , kalimunti , siris ",dried,perennial,2065,natural_disaster,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Kavrepalanchowk,Namobuudha,11,Kapardhunga,Kapardhunga,27.56315206,85.59362805,Watishyong dhara,spring,community,agriculture,"Chilaune, utis, lakuri,lapsi",dried,perennial,2065,source_disruption,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Kavrepalanchowk,Namobuudha,11,Kapardhunga,Chegen muni,27.56030171,85.59322698,Nil kumar bhaila kuwa,spring,private,agriculture,"Paeu , kutmiro, utis",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,5,180,50,10,5,12,decreasing,,,,,excellent,no_change,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
51,Kavrepalanchowk,Namobuudha,9,दापचा,Satyalthok,27.55182667,85.61420667,कुवा,spring,community,agriculture,"ओखर,उतिस,कुटमेरो",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,180,60,5,15,30,decreasing,,,,,good,no_change,yes,"household,livestock",10,"BTCS, Janajaati",,,Degraded,no,,,no,,yes,,no,,,,no,,
52,Kavrepalanchowk,Namobuudha,11,Sanu balkharka,Balkharka,27.54445777,85.58133576,Pokhari,spring,public,sparse_forest,"Utisa,titepati",active,seasonal,,,,,,open_kuwa,flowing,soil/sediment,5,60,100,20,1,2,decreasing,,,,,poor,no_change,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
53,Kavrepalanchowk,Namobuudha,8,Humagae thok ,Humagaethok ,27.54949425,85.62549595,Humagae thokko batako padero  ,spring,public,dense_forest,"Cilaune ,lakuri ,katus ",active,perennial,,,,,,closed_kuwa,seepage,rock,20,480,100,10,8,8,same,,,,,excellent,improved,yes,"drinking,livestock,household",18,Mixed,,,Improved,no,,,yes,"Saunma nuhaum ,panchami nuhaun ",yes,,no,,,,no,,
54,Kavrepalanchowk,Namobuudha,11,Sanubalkhar,Newaratola,27.54447779,85.58121976,Paderapakha,spring,public,grassland,Basagari,active,seasonal,,,,,,open_kuwa,seepage,soil/sediment,5,65,500,30,8,12,decreasing,,,,,poor,no_change,yes,livestock,200,Mixed,,,Degraded,no,,,no,,yes,,no,,,,no,,
55,Kavrepalanchowk,Namobuudha,11,Patigau,Patigau,27.55976213,85.59444521,Patigau Dhara bhle ,spring,community,agriculture,"Lapsi, utis , chilaune",active,perennial,,,,,,tap,flowing,rock,10,60,100,15,4,2,increasing,,,,,excellent,no_change,yes,"drinking,household,livestock",15,Janajati,,,Improved,yes,same,same,no,,yes,,no,,,,no,,
56,Kavrepalanchowk,Namobuudha,9,नमोबुद दापचा,Satyalthok,27.553085,85.613665,पोखरी,pond,community,agriculture,"उतिस,चिलाउने,हाडेबेर।",active,perennial,,,,,,,,,,,,,,,,54,2.5,60,2,good,no_change,yes,"livestock,agriculture",28,Mixed,,,,no,,,no,,yes,,no,,,,no,,
57,Kavrepalanchowk,Namobuudha,6,Charngefadi,Simaa,27.52687833,85.65918833,Sim,spring,private,agriculture,"kutmiro ,chiple,uniu ",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,45,50,6,5,15,decreasing,,,,,good,no_change,yes,"household,drinking,livestock",2,BCTS,,,Degraded,yes,same,same,yes,kul puja ko lagi,yes,,no,,,,yes,source_protection,
58,Kavrepalanchowk,Namobuudha,8,Pipal tar ,Pipal tar ,27.51250083,85.60965417,Pipaltare mul ,spring,community,fallow,"Khiro ,ganaune jhar ,dhursul ",active,perennial,,,,,,open_kuwa,flowing,rock,2.5,36,200,10,7,10,decreasing,,,,,excellent,improved,yes,"drinking,livestock,household",10,Mixed,,,Degraded,no,,,yes,"Gumba banaun ,kriya purti nuhaune  ",yes,,no,,,,no,,
59,Kavrepalanchowk,Namobuudha,5,namobuddha ,dadagangu,27.53345962,85.70577805,जिमले,spring,public,grassland,"बनमारा,कटुस।उतिस।",active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,5,20,1400,60,5,5,Same,,,,,good,degraded,yes,"drinking,household,livestock",75,Janajati,,,Degraded,yes,same,same,no,,yes,,yes,formal,male,,no,,
60,Kavrepalanchowk,Namobuudha,2,Buchchakot,Nayabasti ,27.57962359,85.64033143,बाँझ खोलाको कुवा ,spring,community,sparse_forest,"चिउरि, फास्रो, कटुस",active,perennial,,,,,,cemented_tank,flowing,soil/sediment,2,120,200,10,3,3,same,,,,,good,degraded,yes,livestock,8,Janajati,,,no_change,no,,,no,,yes,,no,,,,yes,source_protection,
61,Kavrepalanchowk,Namobuudha,8,Pipal tar ,Pipal tar ,27.51214073,85.61117217,Chautaro muniko mul ,spring,community,grassland,"Jaluko, sisnu, khiro ",active,perennial,,,,,,open_kuwa,seepage,rock,2.5,50,400,20,5,4,increasing,,,,,excellent,improved,yes,"drinking,livestock,household",12,Mixed,,,Improved,no,,,yes,"Gumbalai jal chadaun, kajkriya ko lagi ",yes,,no,,,,no,,
62,Kavrepalanchowk,Namobuudha,6,Charangefadi,Bhagedada,27.52553167,85.656765,Chisapani,spring,private,fallow,"Sisno, dhursul, timilo",dried,perennial,2072,Earthquake,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Kavrepalanchowk,Namobuudha,1,Phulbari,Katikee,27.57824833,85.60808167,Buda Ba Ko Padhero,spring,private,agriculture,"Banmara, Aap, Chutro",active,perennial,,,,,,cemented_tank,flowing,soil/sediment,1,30,100,8,5,5,same,,,,,good,no_change,yes,agriculture,15,BCTS,,,no_change,yes,same,same,yes,Naag Than,yes,,no,,,,yes,source_protection,
64,Kavrepalanchowk,Namobuudha,2,तिमसेना गाँऊ,तिमसेना टोल,27.57825659,85.63847275,नर पँधेरो,spring,community,sparse_forest,उत्तिस खन्यौ बाँस,active,perennial,,,,,,cemented_tank,flowing,soil/sediment,12,300,50,5,5,2,increasing,,,,,excellent,improved,yes,"drinking,household,livestock,religious_purpose",12,"BCTS,Newar",,,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
65,Kavrepalanchowk,Namobuudha,8,Pipaltar,Pipaltar,27.5120478,85.61303957,Dharajabu,spring,community,sparse_forest,"Aeiselu, kalimunte ,siudi ghari ",active,perennial,,,,,,open_kuwa,flowing,rock,10,180,500,15,5,7,decreasing,,,,,good,improved,yes,"livestock,drinking,household",12,Mixed,,,Degraded,yes,same,same,no,,yes,,no,,,,yes,"recharge_pond_construction,source_protection",
66,Kavrepalanchowk,Namobuudha,2,तिमसेना गाँउ,तिमसेना टोल,27.579557,85.63627803,माथ्ला घरे कुवा ,spring,private,agriculture,कुटमेरा आरु किम्बु,active,perennial,,,,,,cemented_tank,seepage,soil/sediment,12,300,5,2,1,3,decreasing,,,,,good,improved,yes,"household,livestock,drinking",4,BCTS,,,no_change,no,,,no,,yes,,no,,,,yes,source_protection,
